Name,Type of Food,URL
Olive Garden,Fast Food,https://www.olivegarden.com/home
McDonalds,Fast Food,https://www.mcdonalds.com/us/en-us.html
Meat You There,Fast Food,https://www.meatuanywhere.com/
Burger King,Fast Food,https://www.bk.com/
Panda Express,Fast Food,https://www.pandaexpress.com/
Taco Bell,Fast Food,https://www.tacobell.com/
Thai Tanic,Fast Food,https://thaitaniccuisine.com/
Red Robin,Fast Food,https://www.redrobin.com/?gclid=CjwKCAjwhNWZBhB_EiwAPzlhNvYVxiSVpeFsu0AYZKzYHV1zg5hkSgM_wgdNnd4t4xqK0kV5dpOEQBoC0zQQAvD_BwE&gclsrc=aw.ds
KFC,Fast Food,https://www.kfc.com/
Pizza Hut,Fast Food,https://www.pizzahut.com/
Chicken Biryani,Recipe,https://www.allrecipes.com/recipe/16102/chicken-biryani/
Baked Spaghetti,Recipe,https://www.allrecipes.com/recipe/222582/baked-spaghetti/
Black Bean Chilli,Recipe,https://www.allrecipes.com/recipe/21277/black-beans/
Spicy Chicken Nuggets,Recipe,https://www.allrecipes.com/recipe/281683/spicy-chicken-nuggets/
French Fried Potatoes,Recipe,https://www.allrecipes.com/recipe/35963/french-fried-potatoes/
Shrimp Scampi,Recipe,https://www.allrecipes.com/recipe/19508/shrimp-scampi/
Chicken Pesto Sandwich,Recipe,https://www.allrecipes.com/recipe/230486/chicken-pesto-sandwich/
Instant Pot BBQ Chicken Thighs,Recipe,https://www.allrecipes.com/recipe/272405/instant-pot-bbq-chicken-thighs/
Citrus Salad,Recipe,https://www.allrecipes.com/recipe/86805/citrus-salad/
Lasagna,Recipe,https://www.allrecipes.com/recipe/19756/brendas-lasagna/
